"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"MA010120220806072717","이랑커튼","","G2","소매","G209","섬유·의복·신발 소매","G20906","침구류/커튼 소매업","G47421","가정용 직물제품 소매업","36","세종특별자치시","36110","세종특별자치시","36110523","어진동","3611011000","어진동","3611011000106850000","1","대지",685,,"세종특별자치시 세종특별자치시 어진동 685","361103258076","세종특별자치시 세종특별자치시 다솜로",38,,"3611011000101010004000001","","세종특별자치시 세종특별자치시 다솜로 38","339012","30121","","3","",127.257322206421,36.4959604195926
"MA010120220805895703","대영오토바이","","G2","소매","G203","모터사이클 소매","G20301","모터사이클 및 부품 소매업","G45302","모터사이클 및 부품 소매업","36","세종특별자치시","36110","세종특별자치시","36110250","조치원읍","3611025030","조치원읍","3611025030100980010","1","대지",98,10,"세종특별자치시 세종특별자치시 조치원읍 죽림리 98-10","361104574236","세종특별자치시 세종특별자치시 조치원읍 산막길",12,4,"3611025030100980010000001","","세종특별자치시 세종특별자치시 조치원읍 산막길 12-4","339884","30034","","","",127.295112281811,36.5924579850165
"MA010120220800231464","르니앤맥코이&리펜스튜디오AK세종","","G2","소매","G209","섬유·의복·신발 소매","G20902","여성 의류 소매업","G47412","여자용 겉옷 소매업","36","세종특별자치시","36110","세종특별자치시","36110523","어진동","3611011000","어진동","3611011000105210000","1","대지",521,,"세종특별자치시 세종특별자치시 어진동 521","361103258077","세종특별자치시 세종특별자치시 다솜1로",20,,"3611011000105210000000001","KT&G세종타워","세종특별자치시 세종특별자치시 다솜1로 20","339012","30116","","1","",127.256678064288,36.5003143900996
"MA010120220812047849","족발야시장세종아름점","","I2","음식","I201","한식","I20103","족발/보쌈","I56111","한식 일반 음식점업","36","세종특별자치시","36110","세종특별자치시","36110530","아름동","3611011300","아름동","3611011300112910000","1","대지",1291,,"세종특별자치시 세종특별자치시 아름동 1291","361103258090","세종특별자치시 세종특별자치시 보듬3로",104,19,"3611011300100790001000001","세석빌딩","세종특별자치시 세종특별자치시 보듬3로 104-19","339011","30100","","","",127.2498630551,36.5122511355242
"MA010120220806218513","레마상담심리교육연구소","","P1","교육","P106","기타 교육","P10621","직원 훈련기관","S96999","그 외 기타 달리 분류되지 않은 개인 서비스업","36","세종특별자치시","36110","세종특별자치시","36110360","연서면","3611036024","연서면","3611036024105560041","1","대지",556,41,"세종특별자치시 세종특별자치시 연서면 고복리 556-41","361104574362","세종특별자치시 세종특별자치시 연서면 안산길",172,52,"3611036024105560041000001","","세종특별자치시 세종특별자치시 연서면 안산길 172-52","339811","30042","","","",127.240467548017,36.6037278722833
"MA010120220806883653","프로헤어광개토","","S2","수리·개인","S207","이용·미용","S20701","미용실","S96112","두발 미용업","36","세종특별자치시","36110","세종특별자치시","36110530","아름동","3611011300","아름동","3611011300112890000","1","대지",1289,,"세종특별자치시 세종특별자치시 아름동 1289","361103258090","세종특별자치시 세종특별자치시 보듬3로",104,15,"3611011300100880000000001","엘스빌딩","세종특별자치시 세종특별자치시 보듬3로 104-15","339011","30100","","2","",127.249215689072,36.5122885358686
"MA010120220803919430","셀독24스터디카페세종새롬점","","R1","예술·스포츠","R102","도서관·사적지","R10202","독서실/스터디 카페","R90212","독서실 운영업","36","세종특별자치시","36110","세종특별자치시","36110515","새롬동","3611010800","새롬동","3611010800105820000","1","대지",582,,"세종특별자치시 세종특별자치시 새롬동 582","361103351283","세종특별자치시 세종특별자치시 새롬중앙로",63,,"3611010800200250000000002","세종온누리타워","세종특별자치시 세종특별자치시 새롬중앙로 63","339009","30126","","2","",127.250260337055,36.4865403264581
"MA010120220807172480","빵티시에","","P1","교육","P106","기타 교육","P10625","기타 기술/직업 훈련학원","P85669","기타 기술 및 직업 훈련학원","36","세종특별자치시","36110","세종특별자치시","36110515","새롬동","3611010800","새롬동","3611010800105740000","1","대지",574,,"세종특별자치시 세종특별자치시 새롬동 574","361103351283","세종특별자치시 세종특별자치시 새롬중앙로",34,,"3611010800103410074000001","크리스마스빌딩","세종특별자치시 세종특별자치시 새롬중앙로 34","339009","30127","","","",127.252497166183,36.4845981246918
"MA010120220812249585","우리식당","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","36","세종특별자치시","36110","세종특별자치시","36110340","금남면","3611034038","금남면","3611034038101240005","1","대지",124,5,"세종특별자치시 세종특별자치시 금남면 신촌리 124-5","361103000098","세종특별자치시 세종특별자치시 금남면 금남구즉로",90,,"4473034042101240005030787","","세종특별자치시 세종특별자치시 금남면 금남구즉로 90","339835","30083","","","",127.288702747055,36.4736210191403
"MA010120220809882145","타이밍공인중개사사무소","","L1","부동산","L102","부동산 서비스","L10203","부동산 중개/대리업","L68221","부동산 중개 및 대리업","36","세종특별자치시","36110","세종특별자치시","36110556","반곡동","3611010100","반곡동","3611010100108520000","1","대지",852,,"세종특별자치시 세종특별자치시 반곡동 852","361103350791","세종특별자치시 세종특별자치시 반곡로",15,,"3611010100100400008000001","수루배마을3단지","세종특별자치시 세종특별자치시 반곡로 15","339007","30146","","1","",127.308318926968,36.4990746813805
"MA010120220805697580","순이네짜글이","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","36","세종특별자치시","36110","세종특별자치시","36110310","연기면","3611031021","연기면","3611031021103850003","1","대지",385,3,"세종특별자치시 세종특별자치시 연기면 연기리 385-3","361103258005","세종특별자치시 세종특별자치시 연기면 당산로",122,7,"4473033021103850000015268","","세종특별자치시 세종특별자치시 연기면 당산로 122-7","339824","30058","","1","",127.277406236681,36.5442802489173
"MA010120220810338215","이루다","","G2","소매","G211","가구 소매","G21101","가구 소매업","G47520","가구 소매업","36","세종특별자치시","36110","세종특별자치시","36110523","어진동","3611011000","어진동","3611011000106860000","1","대지",686,,"세종특별자치시 세종특별자치시 어진동 686","361102000002","세종특별자치시 세종특별자치시 한누리대로",350,,"3611011000106860000000001","뱅크빌딩","세종특별자치시 세종특별자치시 한누리대로 350","339012","30121","","6","",127.257231129216,36.4954199222281
"MA010120220805896919","송도헬스크럽","","R1","예술·스포츠","R103","스포츠 서비스","R10307","헬스장","R91132","체력 단련시설 운영업","36","세종특별자치시","36110","세종특별자치시","36110360","연서면","3611036033","연서면","3611036033102150007","1","대지",215,7,"세종특별자치시 세종특별자치시 연서면 봉암리 215-7","361104574209","세종특별자치시 세종특별자치시 연서면 봉암길",150,,"4473032033102150007014540","","세종특별자치시 세종특별자치시 연서면 봉암길 150","339813","30047","","","",127.283236751026,36.5628481933762
"MA010120220811823572","청사로열쇠","","G2","소매","G210","철물·건설자재 소매","G21001","철물/공구 소매업","G47511","철물 및 난방용구 소매업","36","세종특별자치시","36110","세종특별자치시","36110520","도담동","3611011400","도담동","3611011400106570000","1","대지",657,,"세종특별자치시 세종특별자치시 도담동 657","361102000002","세종특별자치시 세종특별자치시 한누리대로",583,,"3611011400102570000000001","도담센트럴프라자","세종특별자치시 세종특별자치시 한누리대로 583","339006","30098","","","",127.258491413278,36.5152876612857
"MA010120220812093276","구피샵","다정점","S2","수리·개인","S207","이용·미용","S20701","미용실","S96112","두발 미용업","36","세종특별자치시","36110","세종특별자치시","36110518","나성동","3611010700","나성동","3611010700107300000","1","대지",730,,"세종특별자치시 세종특별자치시 나성동 730","361102000002","세종특별자치시 세종특별자치시 한누리대로",321,,"3611010700107300000000001","에스알파크시티","세종특별자치시 세종특별자치시 한누리대로 321","339003","30123","","1","",127.255783411452,36.4930079351751
"MA010120220807974420","대평이불한복상회","","G2","소매","G209","섬유·의복·신발 소매","G20906","침구류/커튼 소매업","G47421","가정용 직물제품 소매업","36","세종특별자치시","36110","세종특별자치시","36110340","금남면","3611034021","금남면","3611034021101900012","1","대지",190,12,"세종특별자치시 세종특별자치시 금남면 용포리 190-12","361104574095","세종특별자치시 세종특별자치시 금남면 대평시장2길",9,,"4473034021101900012029842","","세종특별자치시 세종특별자치시 금남면 대평시장2길 9","339835","30083","","","",127.282137566911,36.4662832584095
"MA010120220805868393","신남부공업사","","S2","수리·개인","S203","자동차 수리·세차","S20301","자동차 정비소","S95212","자동차 전문 수리업","36","세종특별자치시","36110","세종특별자치시","36110360","연서면","3611036033","연서면","3611036033100730001","1","대지",73,1,"세종특별자치시 세종특별자치시 연서면 봉암리 73-1","361103258005","세종특별자치시 세종특별자치시 연서면 당산로",404,,"4473032033100730001027920","","세종특별자치시 세종특별자치시 연서면 당산로 404","339813","30047","","","",127.285955010913,36.5668968582291
"MA010120220814022032","세종국궁제작소","","G2","소매","G218","장식품 소매","G21802","기념품점","G47842","기념품; 관광 민예품 및 장식용품 소매업","36","세종특별자치시","36110","세종특별자치시","36110380","전동면","3611038029","전동면","3611038029102190028","1","대지",219,28,"세종특별자치시 세종특별자치시 전동면 미곡리 219-28","361104574484","세종특별자치시 세종특별자치시 전동면 지곡길",6,1,"4473036029102190028006331","","세종특별자치시 세종특별자치시 전동면 지곡길 6-1","339842","30009","","","",127.220107009795,36.6639090371924
"MA010120220805343250","케이탑법무사전상범사무소","","M1","과학·기술","M103","법무관련 ","M10303","법무사","M71103","법무사업","36","세종특별자치시","36110","세종특별자치시","36110560","보람동","3611010300","보람동","3611010300107220000","1","대지",722,,"세종특별자치시 세종특별자치시 보람동 722","361102000002","세종특별자치시 세종특별자치시 한누리대로",2150,,"3611010300106640010000001","스마트허브Ⅰ","세종특별자치시 세종특별자치시 한누리대로 2150","339008","30151","","","",127.287326039133,36.4785086210739
"MA010120220805870825","두리식당","","I2","음식","I211","주점","I21104","요리 주점","I56219","기타 주점업","36","세종특별자치시","36110","세종특별자치시","36110250","조치원읍","3611025024","조치원읍","3611025024100110007","1","대지",11,7,"세종특별자치시 세종특별자치시 조치원읍 교리 11-7","361104574258","세종특별자치시 세종특별자치시 조치원읍 새내15길",6,,"4473025024100110007037797","","세종특별자치시 세종특별자치시 조치원읍 새내15길 6","339801","30023","","","",127.297067729815,36.604068820322
